Memory Length,4000,
Trigger Level,0.00000e+00,
Source,CH1,
Probe,1.0X,
Vertical Units,V,
Vertical Scale,1.00000e-01,
Vertical Position,-5.20000e-02,
Horizontal Units,S,
Horizontal Scale,2.50000e-08,
Horizontal Position,4.0000000e-02,
Horizontal Mode,Main,
Sampling Period,1.00000e-09,
Firmware,V1.14,
Time, ,
Mode,Fast,
Waveform Data,
24,
21,
24,
21,
19,
19,
18,
16,
16,
14,
15,
13,
10,
10,
10,
8,
7,
5,
4,
3,
2,
2,
1,
1,
-1,
-3,
-3,
-5,
-6,
-5,
-5,
-7,
-7,
-8,
-8,
-10,
-13,
-12,
-11,
-13,
-14,
-15,
-13,
-15,
-17,
-16,
-16,
-17,
-17,
-20,
-19,
-20,
-22,
-20,
-20,
-21,
-23,
-23,
-24,
-24,
-25,
-24,
-24,
-25,
-25,
-27,
-27,
-27,
-28,
-28,
-27,
-28,
-29,
-29,
-28,
-31,
-31,
-30,
-29,
-30,
-30,
-31,
-29,
-31,
-32,
-32,
-32,
-32,
-31,
-32,
-32,
-33,
-33,
-33,
-32,
-33,
-33,
-33,
-33,
-34,
-34,
-34,
-33,
-33,
-33,
-35,
-35,
-35,
-36,
-35,
-34,
-33,
-33,
-34,
-34,
-35,
-34,
-35,
-34,
-34,
-35,
-35,
-34,
-35,
-36,
-35,
-33,
-32,
-33,
-33,
-32,
-31,
-27,
-21,
-16,
-11,
-4,
0,
4,
7,
11,
14,
19,
22,
25,
28,
31,
32,
35,
38,
42,
45,
47,
49,
51,
52,
54,
56,
59,
59,
60,
62,
63,
63,
65,
65,
67,
68,
69,
70,
71,
69,
67,
67,
67,
64,
63,
61,
59,
57,
54,
53,
52,
49,
47,
47,
48,
43,
42,
41,
39,
37,
37,
33,
33,
31,
30,
29,
28,
27,
25,
24,
24,
21,
19,
19,
19,
16,
15,
15,
14,
12,
10,
10,
8,
6,
7,
6,
5,
4,
2,
2,
1,
1,
-1,
-2,
-3,
-4,
-6,
-4,
-5,
-6,
-7,
-8,
-8,
-10,
-12,
-12,
-10,
-13,
-15,
-13,
-15,
-15,
-17,
-16,
-17,
-17,
-17,
-20,
-19,
-19,
-22,
-20,
-21,
-21,
-23,
-23,
-24,
-25,
-25,
-24,
-24,
-25,
-25,
-26,
-27,
-28,
-28,
-28,
-27,
-27,
-28,
-28,
-28,
-30,
-31,
-30,
-29,
-30,
-30,
-31,
-29,
-31,
-32,
-32,
-31,
-32,
-31,
-32,
-32,
-34,
-34,
-32,
-30,
-32,
-33,
-33,
-33,
-34,
-34,
-33,
-33,
-34,
-33,
-34,
-34,
-34,
-34,
-35,
-33,
-33,
-33,
-34,
-34,
-35,
-34,
-35,
-34,
-34,
-34,
-35,
-34,
-34,
-34,
-35,
-33,
-32,
-32,
-32,
-29,
-28,
-25,
-19,
-13,
-8,
-3,
2,
5,
10,
14,
17,
21,
24,
26,
29,
32,
35,
38,
40,
44,
46,
49,
50,
53,
54,
56,
57,
60,
61,
63,
64,
64,
65,
65,
65,
67,
67,
69,
70,
71,
68,
67,
66,
64,
63,
61,
59,
57,
56,
53,
53,
52,
49,
47,
46,
46,
43,
40,
40,
38,
35,
35,
34,
33,
30,
28,
27,
27,
26,
25,
23,
22,
20,
18,
18,
18,
16,
15,
14,
13,
11,
9,
9,
8,
7,
7,
6,
5,
3,
2,
2,
0,
0,
-1,
-3,
-3,
-5,
-6,
-5,
-5,
-8,
-7,
-9,
-11,
-10,
-13,
-12,
-12,
-13,
-15,
-14,
-13,
-15,
-18,
-17,
-17,
-17,
-17,
-20,
-20,
-21,
-22,
-20,
-21,
-21,
-23,
-24,
-24,
-25,
-26,
-25,
-25,
-26,
-25,
-27,
-26,
-28,
-28,
-28,
-27,
-29,
-29,
-30,
-29,
-32,
-31,
-31,
-29,
-30,
-29,
-31,
-31,
-32,
-32,
-32,
-31,
-32,
-32,
-32,
-32,
-33,
-34,
-32,
-32,
-33,
-33,
-34,
-34,
-34,
-34,
-34,
-33,
-34,
-34,
-34,
-34,
-35,
-35,
-35,
-33,
-33,
-34,
-35,
-35,
-35,
-35,
-35,
-34,
-34,
-35,
-35,
-34,
-35,
-35,
-35,
-33,
-32,
-33,
-34,
-33,
-33,
-31,
-28,
-23,
-17,
-12,
-6,
-3,
2,
6,
9,
14,
16,
21,
24,
27,
29,
32,
35,
39,
42,
44,
46,
49,
49,
51,
53,
56,
57,
59,
60,
62,
63,
63,
64,
66,
67,
68,
69,
71,
69,
68,
68,
67,
64,
64,
62,
62,
59,
57,
57,
55,
52,
50,
48,
48,
46,
44,
43,
42,
39,
39,
36,
35,
31,
30,
29,
29,
29,
27,
26,
25,
23,
21,
20,
19,
17,
17,
16,
15,
14,
12,
12,
11,
9,
9,
7,
6,
5,
3,
3,
3,
1,
1,
-1,
-1,
-2,
-4,
-4,
-5,
-5,
-5,
-7,
-8,
-9,
-12,
-11,
-11,
-12,
-12,
-13,
-14,
-15,
-17,
-16,
-16,
-16,
-17,
-18,
-18,
-18,
-21,
-20,
-19,
-21,
-23,
-23,
-23,
-24,
-24,
-24,
-24,
-25,
-25,
-27,
-27,
-28,
-28,
-28,
-27,
-28,
-27,
-28,
-28,
-29,
-30,
-30,
-29,
-30,
-30,
-30,
-28,
-32,
-33,
-31,
-30,
-31,
-31,
-32,
-32,
-33,
-34,
-33,
-31,
-32,
-33,
-32,
-33,
-33,
-34,
-34,
-33,
-33,
-32,
-33,
-33,
-34,
-34,
-35,
-33,
-33,
-33,
-34,
-34,
-35,
-34,
-34,
-33,
-34,
-35,
-35,
-34,
-36,
-35,
-35,
-33,
-32,
-31,
-32,
-30,
-28,
-24,
-20,
-13,
-7,
-2,
3,
7,
10,
14,
17,
20,
23,
27,
30,
33,
34,
37,
40,
44,
46,
47,
50,
53,
53,
55,
57,
60,
62,
62,
63,
65,
65,
66,
66,
68,
68,
69,
70,
71,
69,
67,
66,
65,
63,
61,
59,
57,
56,
54,
54,
51,
49,
46,
45,
46,
42,
40,
40,
39,
36,
36,
33,
33,
30,
28,
27,
27,
26,
25,
23,
22,
19,
18,
18,
18,
17,
15,
14,
13,
11,
10,
9,
8,
6,
7,
6,
4,
3,
2,
2,
1,
0,
-1,
-3,
-3,
-3,
-6,
-5,
-5,
-7,
-7,
-9,
-10,
-11,
-14,
-13,
-12,
-13,
-13,
-13,
-12,
-15,
-18,
-16,
-17,
-17,
-17,
-20,
-20,
-21,
-22,
-20,
-21,
-21,
-23,
-23,
-24,
-25,
-26,
-26,
-25,
-26,
-25,
-27,
-27,
-28,
-28,
-28,
-27,
-29,
-29,
-30,
-28,
-30,
-31,
-30,
-29,
-30,
-30,
-31,
-31,
-32,
-32,
-32,
-31,
-31,
-31,
-32,
-31,
-34,
-34,
-33,
-32,
-32,
-32,
-33,
-33,
-34,
-34,
-34,
-33,
-34,
-33,
-33,
-33,
-35,
-34,
-35,
-33,
-33,
-34,
-35,
-35,
-35,
-36,
-35,
-34,
-34,
-35,
-35,
-35,
-36,
-36,
-35,
-33,
-33,
-33,
-35,
-34,
-34,
-34,
-32,
-30,
-28,
-23,
-19,
-14,
-8,
-4,
0,
5,
9,
13,
17,
21,
23,
26,
28,
32,
35,
37,
40,
43,
45,
48,
50,
53,
54,
56,
56,
58,
59,
61,
62,
65,
66,
67,
67,
69,
68,
67,
68,
69,
68,
68,
67,
66,
64,
61,
61,
59,
56,
55,
53,
52,
49,
48,
47,
47,
43,
41,
39,
38,
35,
34,
34,
33,
32,
32,
28,
27,
25,
23,
21,
22,
21,
21,
19,
19,
16,
14,
13,
13,
11,
11,
9,
8,
7,
6,
6,
5,
3,
2,
2,
1,
-1,
-2,
-2,
-1,
-2,
-4,
-6,
-5,
-8,
-10,
-8,
-9,
-10,
-9,
-11,
-11,
-12,
-15,
-14,
-14,
-16,
-15,
-16,
-17,
-18,
-20,
-19,
-18,
-20,
-21,
-22,
-21,
-22,
-23,
-21,
-23,
-24,
-24,
-26,
-26,
-26,
-26,
-27,
-26,
-28,
-27,
-28,
-27,
-30,
-30,
-29,
-28,
-29,
-29,
-30,
-29,
-32,
-32,
-31,
-30,
-30,
-31,
-32,
-32,
-33,
-33,
-32,
-32,
-32,
-32,
-32,
-32,
-33,
-34,
-33,
-33,
-33,
-33,
-34,
-33,
-34,
-34,
-35,
-33,
-34,
-34,
-35,
-35,
-35,
-35,
-35,
-33,
-34,
-35,
-35,
-34,
-35,
-36,
-36,
-34,
-33,
-34,
-35,
-35,
-36,
-35,
-35,
-33,
-32,
-29,
-27,
-24,
-19,
-14,
-8,
-3,
1,
6,
10,
14,
17,
20,
22,
27,
29,
32,
